Datum,Nederbördsmängd,Kvalitet
2022-01-01,6.6,G
2022-01-02,0.3,G
2022-01-03,0.0,G
2022-01-04,0.0,G
2022-01-05,0.1,G
2022-01-06,0.0,G
2022-01-07,7.1,G
2022-01-08,8.6,G
2022-01-09,0.0,G
2022-01-10,0.0,G
2022-01-11,2.0,G
2022-01-12,0.0,G
2022-01-13,0.0,G
2022-01-14,0.0,G
2022-01-15,0.0,G
2022-01-16,0.6,G
2022-01-17,0.0,G
2022-01-18,0.0,G
2022-01-19,6.9,G
2022-01-20,0.0,G
2022-01-21,0.0,G
2022-01-22,0.0,G
2022-01-23,0.0,G
2022-01-24,0.0,G
2022-01-25,0.0,G
2022-01-26,0.7,G
2022-01-27,0.3,G
2022-01-28,0.6,G
2022-01-29,0.8,G
2022-01-30,0.0,G
2022-01-31,0.1,G
2022-02-01,2.3,G
2022-02-02,0.0,G
2022-02-03,1.6,G
2022-02-04,1.1,G
2022-02-05,0.8,G
2022-02-06,0.0,G
2022-02-07,2.2,G
2022-02-08,0.0,G
2022-02-09,0.0,G
2022-02-10,0.0,G
2022-02-11,0.0,G
2022-02-12,1.7,G
2022-02-13,9.0,G
2022-02-14,15.4,G
2022-02-15,2.6,G
2022-02-16,0.4,G
2022-02-17,0.0,G
2022-02-18,4.7,G
2022-02-19,0.0,G
2022-02-20,16.7,G
2022-02-21,16.7,G
2022-02-22,1.5,G
2022-02-23,2.6,G
2022-02-24,0.0,G
2022-02-25,0.0,G
2022-02-26,0.0,G
2022-02-27,0.0,G
2022-02-28,0.0,G
2022-03-01,0.0,G
2022-03-02,0.0,G
2022-03-03,0.0,G
2022-03-04,0.0,G
2022-03-05,0.0,G
2022-03-06,0.0,G
2022-03-07,0.0,G
2022-03-08,0.0,G
2022-03-09,0.2,G
2022-03-10,0.0,G
2022-03-11,0.0,G
2022-03-12,0.0,G
2022-03-13,0.0,G
2022-03-14,0.0,G
2022-03-15,0.0,G
2022-03-16,0.0,G
2022-03-17,2.8,G
2022-03-18,0.0,G
2022-03-19,0.0,G
2022-03-20,0.0,G
2022-03-21,0.0,G
2022-03-22,0.0,G
2022-03-23,0.0,G
2022-03-24,0.0,G
2022-03-25,0.0,G
2022-03-26,0.0,G
2022-03-27,0.0,G
2022-03-28,0.0,G
2022-03-29,0.0,G
2022-03-30,0.0,G
2022-03-31,0.0,G
2022-04-01,0.6,G
2022-04-02,0.0,G
2022-04-03,1.7,G
2022-04-04,4.2,G
2022-04-05,0.0,G
2022-04-06,0.0,G
2022-04-07,20.8,G
2022-04-08,0.2,G
2022-04-09,0.0,G
2022-04-10,0.0,G
2022-04-11,0.0,G
2022-04-12,0.0,G
2022-04-13,1.9,G
2022-04-14,0.1,G
2022-04-15,0.0,G
2022-04-16,0.0,G
2022-04-17,0.0,G
2022-04-18,0.0,G
2022-04-19,0.0,G
2022-04-20,0.0,G
2022-04-21,0.0,G
2022-04-22,0.0,G
2022-04-23,0.0,G
2022-04-24,0.0,G
2022-04-25,0.0,G
2022-04-26,0.0,G
2022-04-27,0.0,G
2022-04-28,0.0,G
2022-04-29,0.0,G
2022-04-30,0.0,G
2022-05-01,0.0,G
2022-05-02,0.0,G
2022-05-03,0.0,G
2022-05-04,0.0,G
2022-05-05,0.0,G
2022-05-06,2.4,G
2022-05-07,0.0,G
2022-05-08,0.0,G
2022-05-09,0.0,G
2022-05-10,6.5,G
2022-05-11,1.0,G
2022-05-12,0.0,G
2022-05-13,0.5,G
2022-05-14,0.0,G
2022-05-15,0.0,G
2022-05-16,0.0,G
2022-05-17,0.0,G
2022-05-18,0.2,G
2022-05-19,8.2,G
2022-05-20,1.6,G
2022-05-21,0.7,G
2022-05-22,0.0,G
2022-05-23,0.0,G
2022-05-24,7.5,G
2022-05-25,1.0,G
2022-05-26,3.9,G
2022-05-27,1.2,G
2022-05-28,0.0,G
2022-05-29,0.0,G
2022-05-30,0.0,G
2022-05-31,2.6,G
2022-06-01,0.7,G
2022-06-02,0.0,G
2022-06-03,9.0,G
2022-06-04,0.0,G
2022-06-05,0.0,G
2022-06-06,0.0,G
2022-06-07,8.3,G
2022-06-08,0.5,G
2022-06-09,1.1,G
2022-06-10,0.0,G
2022-06-11,0.0,G
2022-06-12,1.5,G
2022-06-13,1.6,G
2022-06-14,0.0,G
2022-06-15,0.4,G
2022-06-16,1.4,G
2022-06-17,5.4,G
2022-06-18,0.0,G
2022-06-19,0.0,G
2022-06-20,0.5,G
2022-06-21,0.0,G
2022-06-22,0.0,G
2022-06-23,0.0,G
2022-06-24,0.0,G
2022-06-25,0.0,G
2022-06-26,0.0,G
2022-06-27,1.3,G
2022-06-28,8.7,G
2022-06-29,0.0,G
2022-06-30,0.0,G
2022-07-01,7.9,G
